RefSeq mRNA ID	NCBI gene ID	Gene name
NM_130786	1	A1BG
NM_001347423	2	A2M
NM_000014	2	A2M
NM_001160179	9	NAT1
NM_000662	9	NAT1
NM_001160176	9	NAT1
NM_001160171	9	NAT1
NM_001160174	9	NAT1
NM_001160173	9	NAT1
NM_001160170	9	NAT1
NM_001160172	9	NAT1
NM_001160175	9	NAT1
NM_001291962	9	NAT1
NM_000015	10	NAT2
NM_001085	12	SERPINA3
NM_001086	13	AADAC
NM_001087	14	AAMP
NM_001302545	14	AAMP
NM_001166579	15	AANAT
NM_001088	15	AANAT
NM_001605	16	AARS
NM_020686	18	ABAT
NM_001127448	18	ABAT
NM_000663	18	ABAT
NM_005502	19	ABCA1
NM_001606	20	ABCA2
NM_212533	20	ABCA2
NM_001089	21	ABCA3
NM_004299	22	ABCB7
NM_001271696	22	ABCB7
NM_001271698	22	ABCB7
NM_001271699	22	ABCB7
NM_001271697	22	ABCB7
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_001090	23	ABCF1
NM_001025091	23	ABCF1
NM_000350	24	ABCA4
NM_007313	25	ABL1
NM_005157	25	ABL1
NM_001091	26	AOC1
NM_001272072	26	AOC1
NM_001168238	27	ABL2
NM_001168237	27	ABL2
NM_001168236	27	ABL2
NM_007314	27	ABL2
NM_001136000	27	ABL2
NM_005158	27	ABL2
NM_001168239	27	ABL2
NM_001136001	27	ABL2
NM_020469	28	ABO
NM_020469	28	ABO
NM_001159746	29	ABR
NM_001322840	29	ABR
NM_021962	29	ABR
NM_001322841	29	ABR
NM_001282149	29	ABR
NM_001092	29	ABR
NM_001256847	29	ABR
NM_021962	29	ABR
NM_001159746	29	ABR
NM_001322840	29	ABR
NM_001322841	29	ABR
NM_001092	29	ABR
NM_001256847	29	ABR
NM_001282149	29	ABR
NM_021962	29	ABR
NM_001159746	29	ABR
NM_001322840	29	ABR
NM_001282149	29	ABR
NM_001322841	29	ABR
NM_001092	29	ABR
NM_001256847	29	ABR
NM_001607	30	ACAA1
NM_001130410	30	ACAA1
NM_198834	31	ACACA
NM_198837	31	ACACA
NM_198839	31	ACACA
NM_198836	31	ACACA
NM_198838	31	ACACA
NM_198834	31	ACACA
NM_198837	31	ACACA
NM_198839	31	ACACA
NM_198836	31	ACACA
NM_198838	31	ACACA
NM_001093	32	ACACB
NM_001608	33	ACADL
NM_000016	34	ACADM
NM_001286043	34	ACADM
NM_001127328	34	ACADM
NM_001286044	34	ACADM
NM_001286042	34	ACADM
NM_000017	35	ACADS
NM_001302554	35	ACADS
NM_001330174	36	ACADSB
NM_001609	36	ACADSB
NM_001270447	37	ACADVL
NM_000018	37	ACADVL
NM_001270448	37	ACADVL
NM_001033859	37	ACADVL
NM_000019	38	ACAT1
NM_005891	39	ACAT2
NM_001303253	39	ACAT2
NM_183377	40	ASIC2
NM_001094	40	ASIC2
