raw_ids	SYMBOL	GENENAME
NM_059873	T19A6.1	PQ-loop repeat-containing protein 1
NM_182066	T19A6.1	PQ-loop repeat-containing protein 1
NM_001129046	T19A6.1	PQ-loop repeat-containing protein 1
NM_058410	Y34D9A.7	PSP domain-containing protein;PSP proline-rich domain-containing protein
NM_058707	lpd-6	Brix domain-containing protein
NM_058924	snrp-40.2	WD_REPEATS_REGION domain-containing protein
NM_059412	chdp-1	Calponin homology domain-containing protein
NM_001374900	C10G11.6	Verprolin-like
NM_001374901	C10G11.6	Verprolin-like
NM_060105	nkb-1	Sodium/potassium-transporting ATPase subunit beta-1
NM_060106	C17E4.10	PRKC apoptosis WT1 regulator protein
NM_060545	dys-1	Dystrophin;Dystrophin-1
NM_001383731		
NM_001306313	dys-1	Dystrophin;Dystrophin-1
NM_060788	F33E2.4	DUF281 domain-containing protein
NM_060987	unc-59	Septin
NM_061147	Y105E8B.9	Beta-glucuronidase
NM_058280	mex-3	Growth-regulating factor;K Homology domain-containing protein
NM_001381229	mex-3	Growth-regulating factor;K Homology domain-containing protein
NM_001261919	R119.5	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1
NM_001261918	R119.5	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1
NM_058364	cus-2	RRM domain-containing protein
NM_058365	Y65B4A.8	Cytidyltransferase-like domain-containing protein
NM_001037903	prhg-1	Pleckstrin homology domain-containing family G member 7
NM_001129087	prhg-1	Pleckstrin homology domain-containing family G member 7
NM_001037904	prhg-1	Pleckstrin homology domain-containing family G member 7
NM_001129086	prhg-1	Pleckstrin homology domain-containing family G member 7
NM_001129084	prhg-1	Pleckstrin homology domain-containing family G member 7
NM_058428	smg-2	Regulator of nonsense transcripts 1
NM_058433	herc-1	HECT domain-containing protein
NM_058439	dapk-1	Death-associated protein kinase dapk-1;non-specific serine/threonine protein kinase
NM_001377653	src-1	Tyrosine protein-kinase src-1
NM_058483	Y71G12B.13	RING-type domain-containing protein
NM_001381283	rpl-27	Large ribosomal subunit protein eL27
NM_001306398	gcy-17	Receptor-type guanylate cyclase gcy-17
NM_001306391	nekl-1	non-specific serine/threonine protein kinase
NM_058588	ddx-10	ATP-dependent RNA helicase;ATP-dependent rRNA helicase SPB4-like C-terminal extension domain-containing protein
NM_058610	pid-3	Protein pid-3
NM_001381537		
NM_058665	arx-1	Actin-related protein 3
NM_058685	Y54E10BL.3	CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone
NM_058736	pqn-72	Prion-like-(Q/N-rich)-domain-bearing protein
NM_001129055	pqn-72	Prion-like-(Q/N-rich)-domain-bearing protein
NM_058774	Y47G6A.5	Tyrosine-protein kinase
NM_058796	smp-2	Sema domain-containing protein
NM_001025846	rpl-13	Large ribosomal subunit protein eL13
NM_001025843	unc-11	Phosphatidylinositol-binding clathrin assembly protein unc-11
NM_001375251	unc-11	Phosphatidylinositol-binding clathrin assembly protein unc-11
NM_058826	unc-11	Phosphatidylinositol-binding clathrin assembly protein unc-11
NM_001375250	unc-11	Phosphatidylinositol-binding clathrin assembly protein unc-11
NM_001375252	unc-11	Phosphatidylinositol-binding clathrin assembly protein unc-11
NM_001025845	unc-11	Phosphatidylinositol-binding clathrin assembly protein unc-11
NM_058829		
NM_001384055	T20F5.7	RING-type domain-containing protein
NM_001025813	unc-89	Muscle M-line assembly protein unc-89
NM_001025814	unc-89	Muscle M-line assembly protein unc-89
NM_058952	anc-1	Calponin-homology (CH) domain-containing protein;KASH domain-containing protein;Nuclear anchorage protein 1
NM_058973	eri-7	Enhanced RNAI (RNA interference)
NM_058998	rpl-24	Large ribosomal subunit protein eL24
NM_001025897	D1007.10	7TM_GPCR_Srx domain-containing protein;Gustatory receptor;PH domain-containing protein
NM_001025896	D1007.10	7TM_GPCR_Srx domain-containing protein;Gustatory receptor;PH domain-containing protein
NM_059032	W09C3.1	Protein kinase domain-containing protein
NM_001262804	pdxk-1	Putative pyridoxal kinase;pyridoxal kinase
NM_059062	pdxk-1	Putative pyridoxal kinase;pyridoxal kinase
NM_059090	snf-1	Sodium: Neurotransmitter symporter Family
NM_001383048	Y110A7A.15	uncharacterized protein
NM_059175	ppk-1	PIPK domain-containing protein
NM_182025	tent-5	polynucleotide adenylyltransferase
NM_170865	tent-5	polynucleotide adenylyltransferase
NM_059180	tent-5	polynucleotide adenylyltransferase
NM_059179	tent-5	polynucleotide adenylyltransferase
NM_001025820	C09D4.1	putative MFS-type transporter C09D4.1
NM_001025821	C09D4.1	putative MFS-type transporter C09D4.1
NM_171837	F46F11.1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
NM_170868	F46F11.1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
NM_059274	dhhc-11	Palmitoyltransferase
NM_001383194		
NM_059340	vps-34	Phosphatidylinositol 3-kinase catalytic subunit type 3
NM_059449	ncbp-1	Nuclear cap-binding protein subunit 1
NM_059488	dad-1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad-1
NM_059552	teg-4	Splicing factor 3B subunit 3
NM_001047217	hrde-4	Protein hrde-4
