raw_ids	SYMBOL	GENENAME
NM_001195143	FXYD1	FXYD domain containing ion transport regulator 1
NM_001195142	FXYD1	FXYD domain containing ion transport regulator 1
NM_001286967	ARHGAP18	Rho GTPase activating protein 18
NM_001197157	DAPK1	death associated protein kinase 1
NM_001003249	GNAQ	G protein subunit alpha q
NM_001284470	LGALS4	galectin 4
NM_001002949	BCL2	BCL2 apoptosis regulator
NM_001286988	CDH20	cadherin 20
NM_001003268	TCF4	transcription factor 4
NM_001003372	VNN1	vanin 1
NM_001286958	ESR1	estrogen receptor 1
NM_001003021	QKI	QKI, KH domain containing RNA binding
NM_001177803	SMOC2	SPARC related modular calcium binding 2
NM_001003332	PLN	phospholamban
NM_001003154	TRDN	triadin
NM_001003204	TJP2	tight junction protein 2
NM_001003139	SLC1A1	solute carrier family 1 member 1
NM_001193298	CYB5A	cytochrome b5 type A
NM_001195771	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1
NM_001003312	SEC11C	SEC11 homolog C, signal peptidase complex subunit
NM_001252259	TBPL1	TATA-box binding protein like 1
NM_001286992	PPIL4	peptidylprolyl isomerase like 4
NM_001024635	LATS1	large tumor suppressor kinase 1
NM_001286989	EZR	ezrin
NM_001122602	IGF2R	insulin like growth factor 2 receptor
NM_001286960	PLG	plasminogen
NM_001197156	THBS2	thrombospondin 2
NM_001002951	GJA1	gap junction protein alpha 1
NM_001256548	HNRNPK	heterogeneous nuclear ribonucleoprotein K
NM_001286970	ANXA1	annexin A1
NM_001286977	ALDH1A1	aldehyde dehydrogenase 1 family member A1
NM_001109958	FXN	frataxin
NM_001313837	ZNG1	Zn regulated GTPase metalloprotein activator 1
NM_001286978	VLDLR	very low density lipoprotein receptor
NM_001291972	CD274	CD274 molecule
NM_001286964	UBE2S	ubiquitin conjugating enzyme E2 S
NM_001313775	TMEM190	transmembrane protein 190
NM_001003041	TNNI3	troponin I3, cardiac type
NM_001284448	NCR1	natural cytotoxicity triggering receptor 1
NM_001286979	PRPF31	pre-mRNA processing factor 31
NM_001003331	ZNF331	zinc finger protein 331
NM_001197158	KLK10	kallikrein related peptidase 10
NM_001197163	KLK8	kallikrein related peptidase 8
NM_001003284	KLK2	kallikrein-related peptidase 2
NM_001003262	KLK1	kallikrein 1
NM_001313783	RPS11	ribosomal protein S11
NM_001313766	RPL13A	ribosomal protein L13a
NM_001003350	FLT3LG	fms related receptor tyrosine kinase 3 ligand
NM_001197033	LHB	luteinizing hormone subunit beta
NM_001024636	FTL	ferritin light chain
NM_001047981	HSD17B14	hydroxysteroid 17-beta dehydrogenase 14
NM_001251958	RPL18	ribosomal protein L18
NM_001002931	ELSPBP1	epididymal sperm binding protein 1
NM_001003049	CRX	cone-rod homeobox
NM_001115012	SELENOW	selenoprotein W
NM_001003373	C5AR1	complement C5a receptor 1
NM_001003022	ARHGAP35	Rho GTPase activating protein 35
NM_001284450	SLC1A5	solute carrier family 1 member 5
NM_001252412	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide
NM_001003256	VASP	vasodilator stimulated phosphoprotein
NM_001313776	CKM	creatine kinase, M-type
NM_001003368	APOC2	apolipoprotein C2
NM_001197048	APOC1	apolipoprotein C1
NM_001286980	LOC476445	interferon-inducible GTPase 5-like
NM_001286982	XRCC1	X-ray repair cross complementing 1
NM_001097552	CEACAM23	carcinoembryonic antigen-related cell adhesion molecule 23
NM_001097554	CEACAM24	carcinoembryonic antigen-related cell adhesion molecule 24
NM_001113459	CAECAM1	carcinoembryonic antigen-related cell adhesion molecule 25
NM_001097546	CEACAM28	carcinoembryonic antigen-related cell adhesion molecule 28
NM_001287004	GRIK5	glutamate ionotropic receptor kainate type subunit 5
NM_001003014	RABAC1	Rab acceptor 1
NM_001313834	CD79A	CD79a molecule
NM_001003309	TGFB1	transforming growth factor beta 1
NM_001006652	CYP2B6	cytochrome P450 2B11
NM_001003275	RAB4B	RAB4B, member RAS oncogene family
NM_001286963	SPINT2	serine peptidase inhibitor, Kunitz type 2
NM_001197117	TYROBP	transmembrane immune signaling adaptor TYROBP
NM_001313832	PRODH2	proline dehydrogenase 2
NM_001284449	PSENEN	presenilin enhancer, gamma-secretase subunit
NM_001003342	ATP4A	ATPase H+/K+ transporting subunit alpha
NM_001024642	KRTDAP	keratinocyte differentiation associated protein
NM_001007140	HAMP	hepcidin antimicrobial peptide
NM_001025398	SCN1B	sodium voltage-gated channel beta subunit 1
NM_001003008	RHPN2	rhophilin Rho GTPase binding protein 2
NM_001048109	SLC7A9	solute carrier family 7 member 9
NM_001003148	CUBN	cubilin
NM_001204095	ANKHD1	ankyrin repeat and KH domain containing 1
NM_001003195	OCLN	occludin
NM_001038648	MACO1	macoilin 1
NM_001253720	LOC478000	phytanoyl-CoA hydroxylase-like
NM_001012344	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)
NM_001302828	NR3C1	nuclear receptor subfamily 3 group C member 1
NM_001025397	SPINK5	serine peptidase inhibitor Kazal type 5
NM_001287021	IL6ST	interleukin 6 cytokine family signal transducer
NM_001286232	AK6	adenylate kinase 6
NM_001003085	CES1	carboxylesterase 1
NM_001003362	EPB41	erythrocyte membrane protein band 4.1
NM_001205212	RCC1	regulator of chromosome condensation 1
NM_001031633	CASP9	caspase 9
NM_001003221	CREM	cAMP responsive element modulator
NM_001287063	BMI1	BMI1 proto-oncogene, polycomb ring finger
NM_001252346	COMMD3	COMM domain containing 3
NM_001025269	HACD1	3-hydroxyacyl-CoA dehydratase 1
NM_001287023	VIM	vimentin
NM_001190410	SEPHS1	selenophosphate synthetase 1
NM_001253721	LOC478001	phytanoyl-CoA hydroxylase-like
NM_001003211	IL2RA	interleukin 2 receptor subunit alpha
NM_001109957	SLC23A1	solute carrier family 23 member 1
NM_001252417	PFDN1	prefoldin subunit 1
NM_001202524	EIF4EBP3	eukaryotic translation initiation factor 4E binding protein 3
NM_001252323	GPX8	glutathione peroxidase 8 (putative)
NM_001286231	TAF9	TATA-box binding protein associated factor 9
NM_001003226	SMN	survival motor neuron
NM_001252133	BTF3	basic transcription factor 3
NM_001287024	GOT2	glutamic-oxaloacetic transaminase 2
NM_001003051	CCL17	C-C motif chemokine ligand 17
NM_001284456	CX3CL1	C-X3-C motif chemokine ligand 1
NM_001003149	MT2A	metallothionein 1H
NM_001003150	MT4	metallothionein 4
NM_001287039	NOD2	nucleotide binding oligomerization domain containing 2
NM_001293659	AZIN2	antizyme inhibitor 2
NM_001287043	TAF12	TATA-box binding protein associated factor 12
NM_001287047	PTAFR	platelet activating factor receptor
NM_001287028	SLC9A1	solute carrier family 9 member A1
NM_001003101	HMGN2	high mobility group nucleosomal binding domain 2
NM_001003240	CD52	CD52 molecule
NM_001048036	RHCE	Rh blood group CcEe antigens
NM_001003250	FUCA1	alpha-L-fucosidase 1
NM_001253906	RPL11	ribosomal protein L11
NM_001253907	RPL11	ribosomal protein L11
NM_001003025	ID3	inhibitor of DNA binding 3
NM_001003280	HTR1D	5-hydroxytryptamine receptor 1D
NM_001003254	LOC403934	cell division cycle 42
NM_001197137	ALPL	alkaline phosphatase, biomineralization associated
NM_001003321	DDOST	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
NM_001097547	PADI6	peptidyl arginine deiminase 6
NM_001252217	SDHB	succinate dehydrogenase complex iron sulfur subunit B
NM_001003220	PDPN	podoplanin
NM_001284483	MIIP	migration and invasion inhibitory protein
NM_001284441	MFN2	mitofusin 2
NM_001284442	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
NM_001313851	NPPA	natriuretic peptide A
NM_001003141	FER	FER tyrosine kinase
NM_001002974	AP3B1	adaptor related protein complex 3 subunit beta 1
NM_001252379	AP3S2	adaptor related protein complex 3 subunit sigma 2
NM_001314109	PROM1	prominin 1
NM_001130837	WDR1	WD repeat domain 1
NM_001130835	SLC2A9	solute carrier family 2 member 9
NM_001002955	RBM47	RNA binding motif protein 47
NM_001313809	PDS5A	PDS5 cohesin associated factor A
NM_001002934	PDE6B	phosphodiesterase 6B
NM_001252291	SRP19	signal recognition particle 19
NM_001145214	CKMT2	creatine kinase, mitochondrial 2
NM_001114757	SELENOS	selenoprotein S
NM_001251947	OTUB1	OTU deubiquitinase, ubiquitin aldehyde binding 1
NM_001113455	ACAN	aggrecan
NM_001048022	RHCG	Rh family C glycoprotein
NM_001146034	ANPEP	alanyl aminopeptidase, membrane
NM_001252380	ARPIN	actin related protein 2/3 complex inhibitor
NM_001003313	SEC11A	SEC11 homolog A, signal peptidase complex subunit
NM_001003099	RPS17	ribosomal protein S17
NM_001313873	TRMT44	tRNA methyltransferase 44 homolog
NM_001031815	HGFAC	HGF activator
NM_001003143	CD38	CD38 molecule
NM_001130833	ZNF518B	zinc finger protein 518B
NM_001145429	SMIM20	small integral membrane protein 20
NM_001003286	TMED11	glycoprotein 25L
NM_001003123	GHR	growth hormone receptor
NM_001003057	TCOF1	treacle ribosome biogenesis factor 1
NM_001003300	KCNMA1	potassium calcium-activated channel subfamily M alpha 1
NM_001252171	NPM1	nucleophosmin 1
NM_001197035	ADRA1B	adrenoceptor alpha 1B
NM_001003073	PDE6A	phosphodiesterase 6A
NM_001003136	SLC1A3	solute carrier family 1 member 3
NM_001197182	PRF1	perforin 1
NM_001287115	AP3M1	adaptor related protein complex 3 subunit mu 1
NM_001252320	RPS24	ribosomal protein S24
NM_001252317	RPS24	ribosomal protein S24
NM_001252319	RPS24	ribosomal protein S24
NM_001252321	RPS24	ribosomal protein S24
NM_001252322	RPS24	ribosomal protein S24
NM_001252318	RPS24	ribosomal protein S24
NM_001003258	LMAN2	lectin, mannose binding 2
NM_001010959	NKX2-5	NK2 homeobox 5
NM_001003128	ATP6V0E1	ATPase H+ transporting V0 subunit e1
NM_001003299	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1
NM_001003292	IL12B	interleukin 12B
NM_001253899	MED7	mediator complex subunit 7
NM_001003119	ATOX1	antioxidant 1 copper chaperone
NM_001164454	GPX3	glutathione peroxidase 3
NM_001287106	RPS14	ribosomal protein S14
NM_001287105	RPS14	ribosomal protein S14
NM_001003382	PDGFRB	platelet derived growth factor receptor beta
NM_001003234	ADRB2	adrenoceptor beta 2
NM_001115118	SELENOP	selenoprotein P
NM_001003054	PTGER4	prostaglandin E receptor 4
NM_001037947	SLC45A2	solute carrier family 45 member 2
NM_001287117	ZNF622	zinc finger protein 622
NM_001308483	NCAM1	neural cell adhesion molecule 1
NM_001308484	NCAM1	neural cell adhesion molecule 1
NM_001010950	NCAM1	neural cell adhesion molecule 1
