ENST_ID	hgnc_symbol
ENST00000641515	OR4F5
ENST00000616016	SAMD11
ENST00000618323	SAMD11
ENST00000342066	SAMD11
ENST00000341065	SAMD11
ENST00000455979	SAMD11
ENST00000478729	SAMD11
ENST00000474461	SAMD11
ENST00000466827	SAMD11
ENST00000464948	SAMD11
ENST00000327044	NOC2L
ENST00000338591	KLHL17
ENST00000463212	KLHL17
ENST00000466300	KLHL17
ENST00000481067	KLHL17
ENST00000379410	PLEKHN1
ENST00000379407	PLEKHN1
ENST00000379409	PLEKHN1
ENST00000480267	PLEKHN1
ENST00000491024	PLEKHN1
ENST00000433179	PERM1
ENST00000341290	PERM1
ENST00000694917	PERM1
ENST00000428771	HES4
ENST00000304952	HES4
ENST00000484667	HES4
ENST00000624697	ISG15
ENST00000649529	ISG15
ENST00000379370	AGRN
ENST00000620552	AGRN
ENST00000651234	AGRN
ENST00000652369	AGRN
ENST00000469403	AGRN
ENST00000479707	AGRN
ENST00000466223	AGRN
ENST00000478677	AGRN
ENST00000492947	AGRN
ENST00000461111	AGRN
ENST00000453464	RNF223
ENST00000379339	C1orf159
ENST00000421241	C1orf159
ENST00000379325	C1orf159
ENST00000467751	C1orf159
ENST00000477196	C1orf159
ENST00000379320	C1orf159
ENST00000379319	C1orf159
ENST00000379289	TTLL10
ENST00000379290	TTLL10
ENST00000506177	TTLL10
ENST00000379288	TTLL10
ENST00000460998	TTLL10
ENST00000514695	TTLL10
ENST00000486379	TTLL10
ENST00000328596	TNFRSF18
ENST00000379268	TNFRSF18
ENST00000699969	TNFRSF4
ENST00000379236	TNFRSF4
ENST00000699971	TNFRSF4
ENST00000699973	TNFRSF4
ENST00000699974	TNFRSF4
ENST00000699975	TNFRSF4
ENST00000699976	TNFRSF4
ENST00000699977	TNFRSF4
ENST00000360001	SDF4
ENST00000263741	SDF4
ENST00000465727	SDF4
ENST00000379198	B3GALT6
ENST00000330388	C1QTNF12
ENST00000450390	UBE2J2
ENST00000349431	UBE2J2
ENST00000347370	UBE2J2
ENST00000400929	UBE2J2
ENST00000464036	UBE2J2
ENST00000360466	UBE2J2
ENST00000400930	UBE2J2
ENST00000473215	UBE2J2
ENST00000466752	UBE2J2
ENST00000503294	UBE2J2
ENST00000477894	UBE2J2
ENST00000379116	SCNN1D
ENST00000379101	SCNN1D
ENST00000338555	SCNN1D
ENST00000400928	SCNN1D
ENST00000325425	SCNN1D
ENST00000467651	SCNN1D
ENST00000354700	ACAP3
ENST00000354980	ACAP3
ENST00000379031	PUSL1
ENST00000470520	PUSL1
ENST00000463758	PUSL1
ENST00000706601	PUSL1
ENST00000493657	PUSL1
ENST00000706602	PUSL1
ENST00000540437	INTS11
ENST00000545578	INTS11
ENST00000620829	INTS11
ENST00000435064	INTS11
ENST00000411962	INTS11
ENST00000421495	INTS11
ENST00000458452	INTS11
ENST00000419704	INTS11
ENST00000532772	INTS11
ENST00000450926	INTS11
ENST00000527098	INTS11
ENST00000528879	INTS11
ENST00000531377	INTS11
ENST00000526797	INTS11
ENST00000430786	INTS11
ENST00000429572	INTS11
ENST00000531019	INTS11
ENST00000470679	INTS11
ENST00000525285	INTS11
ENST00000464957	CPTP
ENST00000343938	CPTP
ENST00000339381	TAS1R3
ENST00000378891	DVL1
ENST00000378888	DVL1
ENST00000632445	DVL1
ENST00000631679	DVL1
ENST00000342753	MXRA8
ENST00000309212	MXRA8
ENST00000445648	MXRA8
ENST00000477278	MXRA8
ENST00000338370	AURKAIP1
ENST00000321751	AURKAIP1
ENST00000338338	AURKAIP1
ENST00000378853	AURKAIP1
ENST00000400809	CCNL2
ENST00000482621	CCNL2
ENST00000481223	CCNL2
ENST00000488340	CCNL2
ENST00000408918	CCNL2
ENST00000425598	CCNL2
ENST00000344843	MRPL20
ENST00000492508	MRPL20
ENST00000482352	MRPL20
ENST00000537107	ANKRD65
ENST00000520296	ANKRD65
ENST00000427211	ANKRD65
ENST00000454272	ANKRD65
ENST00000442470	ANKRD65
ENST00000378821	TMEM88B
ENST00000338660	VWA1
ENST00000476993	VWA1
ENST00000378785	ATAD3C
ENST00000484537	ATAD3C
ENST00000673477	ATAD3B
ENST00000308647	ATAD3B
ENST00000472194	ATAD3B
ENST00000378736	ATAD3B
ENST00000485748	ATAD3B
ENST00000474481	ATAD3B
ENST00000378756	ATAD3A
ENST00000672388	ATAD3A
ENST00000378755	ATAD3A
ENST00000339113	ATAD3A
ENST00000536055	ATAD3A
ENST00000439513	ATAD3A
ENST00000429957	ATAD3A
ENST00000400830	ATAD3A
ENST00000378733	TMEM240
ENST00000624426	TMEM240
ENST00000291386	SSU72
ENST00000359060	SSU72
ENST00000422725	FNDC10
ENST00000479659	MIB2
ENST00000489635	MIB2
ENST00000355826	MIB2
ENST00000505820	MIB2
ENST00000518681	MIB2
ENST00000520777	MIB2
ENST00000511502	MIB2
ENST00000477990	MIB2
ENST00000514363	MIB2
ENST00000487053	MIB2
ENST00000502470	MIB2
ENST00000378712	MIB2
ENST00000507082	MIB2
ENST00000463492	MIB2
ENST00000504599	MIB2
ENST00000507229	MIB2
ENST00000378708	MIB2
ENST00000506488	MIB2
ENST00000512004	MIB2
ENST00000508455	MIB2
ENST00000514234	MIB2
ENST00000467597	MIB2
ENST00000508148	MIB2
ENST00000486072	MIB2
ENST00000505370	MIB2
ENST00000473511	MIB2
ENST00000464570	MIB2
ENST00000483015	MIB2
ENST00000511910	MIB2
ENST00000470373	MIB2
ENST00000356026	MMP23B
ENST00000512731	MMP23B
ENST00000378675	MMP23B
ENST00000479814	MMP23B
ENST00000435358	MMP23B
ENST00000503792	MMP23B
ENST00000489782	MMP23B
ENST00000486400	MMP23B
ENST00000490017	MMP23B
ENST00000341832	CDK11B
ENST00000407249	CDK11B
ENST00000340677	CDK11B
ENST00000611150	CDK11B
ENST00000615951	CDK11B
ENST00000626918	CDK11B
ENST00000629289	CDK11B
ENST00000629312	CDK11B
ENST00000614300	SLC35E2B
ENST00000617444	SLC35E2B
ENST00000611123	SLC35E2B
ENST00000404249	CDK11A
ENST00000356200	CDK11A
ENST00000378638	CDK11A
ENST00000509982	CDK11A
ENST00000357760	CDK11A
ENST00000358779	CDK11A
ENST00000378633	CDK11A
ENST00000460465	CDK11A
ENST00000341426	NADK
ENST00000341991	NADK
ENST00000378625	NADK
ENST00000342348	NADK
ENST00000498806	NADK
ENST00000469045	NADK
ENST00000489538	NADK
ENST00000497186	NADK
ENST00000615252	GNB1
ENST00000610897	GNB1
ENST00000378609	GNB1
ENST00000439272	GNB1
ENST00000703692	GNB1
ENST00000703693	GNB1
ENST00000703694	GNB1
ENST00000703695	GNB1
ENST00000703696	GNB1
ENST00000703697	GNB1
ENST00000703699	GNB1
ENST00000703700	GNB1
ENST00000703701	GNB1
ENST00000703702	GNB1
ENST00000703703	GNB1
ENST00000703704	GNB1
ENST00000703705	GNB1
ENST00000703706	GNB1
ENST00000703707	GNB1
ENST00000703708	GNB1
ENST00000703709	GNB1
ENST00000703710	GNB1
ENST00000703711	GNB1
ENST00000378604	CALML6
ENST00000307786	CALML6
ENST00000482402	CALML6
ENST00000462293	CALML6
ENST00000378602	TMEM52
ENST00000310991	TMEM52
ENST00000378598	TMEM52
ENST00000470931	TMEM52
ENST00000493964	CFAP74
ENST00000682832	CFAP74
ENST00000378590	CFAP74
ENST00000378585	GABRD
ENST00000639045	GABRD
ENST00000640067	GABRD
ENST00000638604	GABRD
ENST00000638771	GABRD
ENST00000639935	GABRD
ENST00000640949	GABRD
ENST00000640030	GABRD
ENST00000640423	GABRD
ENST00000639625	GABRD
ENST00000639777	GABRD
ENST00000639070	GABRD
ENST00000640892	GABRD
ENST00000640317	GABRD
ENST00000638804	GABRD
ENST00000640688	GABRD
ENST00000378567	PRKCZ
ENST00000484419	PRKCZ
ENST00000479566	PRKCZ
ENST00000466651	PRKCZ
ENST00000400921	PRKCZ
ENST00000461106	PRKCZ
ENST00000481140	PRKCZ
ENST00000419838	PRKCZ
ENST00000479263	PRKCZ
ENST00000503672	PRKCZ
ENST00000478770	PRKCZ
ENST00000505322	PRKCZ
ENST00000472017	PRKCZ
ENST00000400919	FAAP20
ENST00000428120	FAAP20
ENST00000414253	FAAP20
ENST00000400918	FAAP20
ENST00000378543	FAAP20
ENST00000378546	FAAP20
ENST00000440825	FAAP20
ENST00000420515	FAAP20
ENST00000704337	SKI
ENST00000378536	SKI
ENST00000508416	SKI
ENST00000478223	SKI
ENST00000507179	SKI
ENST00000378531	MORN1
ENST00000378529	MORN1
ENST00000449373	MORN1
ENST00000378525	MORN1
ENST00000494279	MORN1
ENST00000378513	RER1
ENST00000378518	RER1
ENST00000605895	RER1
ENST00000493207	RER1
ENST00000378512	RER1
ENST00000488353	RER1
ENST00000462129	RER1
ENST00000288774	PEX10
ENST00000447513	PEX10
ENST00000650293	PEX10
ENST00000507596	PEX10
ENST00000510434	PEX10
ENST00000502666	PEX10
ENST00000514502	PEX10
ENST00000449969	PLCH2
ENST00000378486	PLCH2
ENST00000419816	PLCH2
ENST00000343889	PLCH2
ENST00000278878	PLCH2
ENST00000473964	PLCH2
ENST00000462379	PLCH2
ENST00000378466	PANK4
ENST00000435556	PANK4
ENST00000505228	PANK4
ENST00000502512	PANK4
ENST00000468002	PANK4
ENST00000486396	PANK4
ENST00000502770	PANK4
ENST00000378453	HES5
ENST00000409119	TNFRSF14
ENST00000355716	TNFRSF14
ENST00000475523	TNFRSF14
ENST00000442392	TNFRSF14
ENST00000482074	TNFRSF14
ENST00000496064	TNFRSF14
ENST00000463471	TNFRSF14
ENST00000466750	TNFRSF14
ENST00000471768	TNFRSF14
ENST00000463835	TNFRSF14
ENST00000482602	TNFRSF14
ENST00000480305	TNFRSF14
ENST00000493183	PRXL2B
ENST00000474659	PRXL2B
ENST00000378425	PRXL2B
ENST00000444521	PRXL2B
ENST00000419916	PRXL2B
ENST00000378424	PRXL2B
ENST00000537325	PRXL2B
ENST00000378427	PRXL2B
ENST00000464043	PRXL2B
ENST00000481683	PRXL2B
ENST00000484099	PRXL2B
