raw_ids	SYMBOL	GENENAME
NM_166811	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001169361	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_166810	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_166812	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001014696	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_166813	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001272154	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001272155	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_079896	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001272153	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001169360	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001169362	CaMKII	Calcium/calmodulin-dependent protein kinase II
NM_001038713	RhoGAP102A	Rho GTPase activating protein at 102A
NM_143657	RhoGAP102A	Rho GTPase activating protein at 102A
NM_001272121	RhoGAP102A	Rho GTPase activating protein at 102A
NM_001258487	RhoGAP102A	Rho GTPase activating protein at 102A
NM_205874	dati	datilografo
NM_166758	dati	datilografo
NM_001258492	dati	datilografo
NM_001272130	zfh2	Zn finger homeodomain 2
NM_079884	zfh2	Zn finger homeodomain 2
NM_001258496	zfh2	Zn finger homeodomain 2
NM_001014691	gw	gawky
NM_166780	gw	gawky
NM_166785	gw	gawky
NM_166784	gw	gawky
NM_166781	gw	gawky
NM_143679	MED26	Mediator complex subunit 26
NM_166791	MED26	Mediator complex subunit 26
NM_001144385	eIF4G1	eukaryotic translation initiation factor 4G1
NM_001103382	eIF4G1	eukaryotic translation initiation factor 4G1
NM_079901	eIF4G1	eukaryotic translation initiation factor 4G1
NM_079891	pho	pleiohomeotic
NM_166827	pho	pleiohomeotic
NM_001110622	JYalpha	JYalpha
NM_001258471	PlexB	Plexin B
NM_079877	PlexB	Plexin B
NM_079878	ci	cubitus interruptus
NM_001258472	ci	cubitus interruptus
NM_001258473	ci	cubitus interruptus
NM_001258475	RpS3A	Ribosomal protein S3A
NM_079879	RpS3A	Ribosomal protein S3A
NM_166714	RpS3A	Ribosomal protein S3A
NM_001038709	pan	pangolin
NM_079880	pan	pangolin
NM_166723	pan	pangolin
NM_001014685	pan	pangolin
NM_001258476	pan	pangolin
NM_166718	pan	pangolin
NM_001258477	pan	pangolin
NM_166720	pan	pangolin
NM_166724	pan	pangolin
NM_001169348	Ank	Ankyrin
NM_175926	Ank	Ankyrin
NM_175928	Ank	Ankyrin
NM_175927	Ank	Ankyrin
NM_166729	anne	anne boleyn
