raw_ids	SYMBOL	GENENAME
NM_001130587	tmem154	transmembrane protein 154
NM_200909	creb1a	cAMP responsive element binding protein 1a
NM_001099445	ednraa	endothelin receptor type Aa
NM_001201544	wdr17	WD repeat domain 17
NM_001017639	dctd	dCMP deaminase
NM_001326550	caly	calcyon neuron-specific vesicular protein
NM_173228	f7i	coagulation factor VIIi
NM_001327759	cenpe	centromere protein E
NM_001145612	si:ch73-41e3.7	si:ch73-41e3.7
NM_131564	appa	amyloid beta (A4) precursor protein a
NM_131689	atp1a1a.4	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4
NM_001109719	gpc6a	glypican 6a
NM_213347	ndfip2	Nedd4 family interacting protein 2
NM_001013261	fn1b	fibronectin 1b
NM_212965	nrp2a	neuropilin 2a
NM_001328558	pard3ba	par-3 family cell polarity regulator beta a
NM_001020643	klf7a	Kruppel like factor 7a
NM_001128672	mxb	myxovirus (influenza) resistance B
NM_001102569	radil	Ras association and DIL domains
NM_131031	actb1	actin, beta 1
NM_201029	prkcba	protein kinase C, beta a
NM_200912	mad1l1	mitotic arrest deficient 1 like 1
NM_001320534	pdia2	protein disulfide isomerase family A, member 2
NM_001327802	npy2rl	neuropeptide Y receptor Y2, like
NM_001044827	trpc5a	transient receptor potential cation channel, subfamily C, member 5a
NM_131785	dmd	dystrophin
NM_001326687	dmd	dystrophin
NM_001037387	ttyh3b	tweety family member 3b
NM_001079986	grk4	G protein-coupled receptor kinase 4
NM_001089448	stra6l	STRA6-like
NM_200883	gne	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
NM_001005769	hpf1	histone PARylation factor 1
NM_001037394	ppp2r2ca	protein phosphatase 2, regulatory subunit B, gamma a
NM_001328067	LOC553528	OCIA domain-containing protein 1-like
NM_001020560	tusc3	tumor suppressor candidate 3
NM_001115123	pcm1	pericentriolar material 1
NM_212967	fat1a	FAT atypical cadherin 1a
NM_001031837	acsl1a	acyl-CoA synthetase long chain family member 1a
NM_131859	klf3	Kruppel like factor 3 (basic)
NM_001145577	limch1a	LIM and calponin homology domains 1a
NM_001114686	rbm47	RNA binding motif protein 47
NM_001102393	tmem192	transmembrane protein 192
NM_001044325	ugt8	UDP glycosyltransferase 8
NM_131894	gria2a	glutamate receptor, ionotropic, AMPA 2a
NM_001301358	zcchc7	zinc finger, CCHC domain containing 7
NM_131315	ldb2b	LIM domain binding 2b
NM_200992	pds5a	PDS5 cohesin associated factor A
NM_001111173	qdprb.4	quinoid dihydropteridine reductase b, tandem duplicate 4
NM_001251945	gucy1b1	guanylate cyclase 1 soluble subunit beta 1
NM_200155	uso1	USO1 vesicle transport factor
NM_001327751	bnc2	basonuclin zinc finger protein 2
NM_001327750	bnc2	basonuclin zinc finger protein 2
NM_001327752	bnc2	basonuclin zinc finger protein 2
NM_001020726	psip1a	PC4 and SFRS1 interacting protein 1a
NM_001017828	timmdc1	translocase of inner mitochondrial membrane domain containing 1
NM_203427	gpm6ba	glycoprotein M6Ba
NM_152950	cryaa	crystallin, alpha A
NM_001114714	cckbra	cholecystokinin B receptor a
NM_001161351	alg11	ALG11 alpha-1,2-mannosyltransferase
NM_001281826	alg11	ALG11 alpha-1,2-mannosyltransferase
NM_001002746	pcca	propionyl-CoA carboxylase subunit alpha
NM_001045411	marchf4a	membrane-associated ring finger (C3HC4) 4a
NM_001080616	vps8	VPS8 subunit of CORVET complex
NM_001045236	dachc	dachshund c
NM_001013448	itga6b	integrin, alpha 6b
NM_001020494	slc2a15b	solute carrier family 2 member 15b
NM_001039839	as3mt	arsenite methyltransferase
NM_001079966	nt5c2b	5'-nucleotidase, cytosolic IIb
NM_001020615	pudp	pseudouridine 5'-phosphatase
NM_001256719	dhrsx	dehydrogenase/reductase (SDR family) X-linked
NM_173272	arl13b	ADP-ribosylation factor-like 13b
NM_001008733	arl6	ADP-ribosylation factor-like 6
NM_001326713	gab1	GRB2-associated binding protein 1
NM_212807	pou4f2	POU class 4 homeobox 2
NM_001045250	arhgap10	Rho GTPase activating protein 10
NM_001100403	nr3c2	nuclear receptor subfamily 3, group C, member 2
NM_001145787	dclk2a	doublecortin-like kinase 2a
NM_001145789	dclk2a	doublecortin-like kinase 2a
NM_001135121	dclk2a	doublecortin-like kinase 2a
NM_001145788	dclk2a	doublecortin-like kinase 2a
NM_001328395	fam193a	family with sequence similarity 193 member A
NM_001326541	hpgd	15-hydroxyprostaglandin dehydrogenase
NM_152965	glra3	glycine receptor, alpha 3
NM_214687	gpm6ab	glycoprotein M6Ab
NM_001076657		
NM_130968		
NM_001002700	faah2a	fatty acid amide hydrolase 2a
NM_203321	naa15b	N-alpha-acetyltransferase 15, NatA auxiliary subunit b
NM_214724	rgs12b	regulator of G protein signaling 12b
NM_001007352	rnf24	ring finger protein 24
NM_001005965	cryba1l2	crystallin, beta A1, like 2
NM_001039640	zdhhc5a	zinc finger DHHC-type palmitoyltransferase 5a
NM_001308827	stx3a	syntaxin 3a
NM_001077785	vps37c	VPS37C subunit of ESCRT-I
NM_001128337	grin2bb	glutamate receptor, ionotropic, N-methyl D-aspartate 2B, genome duplicate b
NM_001089578	si:ch211-214c7.5	si:ch211-214c7.5
NM_001008624	arhgef7b	Rho guanine nucleotide exchange factor (GEF) 7b
NM_001005397	ebpl	EBP like
NM_131809	gja8b	gap junction protein alpha 8 paralog b
NM_001077558	neurl1aa	neuralized E3 ubiquitin protein ligase 1Aa
NM_001077556	cfap58	cilia and flagella associated protein 58
NM_001327744	ppm1kb	protein phosphatase, Mg2+/Mn2+ dependent 1Kb
NM_001309523	mdh1aa	malate dehydrogenase 1Aa, NAD (soluble)
NM_199947	mdh1aa	malate dehydrogenase 1Aa, NAD (soluble)
NM_001316925	mdh1aa	malate dehydrogenase 1Aa, NAD (soluble)
NM_131861	jag1a	jagged canonical Notch ligand 1a
NM_131897	meis1a	Meis homeobox 1 a
NM_001002316	ltv1	LTV1 ribosome biogenesis factor
NM_001328401	tsc2	TSC complex subunit 2
NM_001017566	golga7ba	golgin A7 family, member Ba
NM_001089547	zgc:158803	zgc:158803
NM_131243	c3a.2	complement C3a, tandem duplicate 2
NM_205657	thumpd1	THUMP domain containing 1
NM_213260	olfm2b	olfactomedin 2b
NM_173235	rpl24	ribosomal protein L24
NM_198371	cep97	centrosomal protein 97
NM_001017766	eed	embryonic ectoderm development
NM_001017577	hikeshi	heat shock protein nuclear import factor hikeshi
NM_199632	tmem39a	transmembrane protein 39A
NM_200393	ildr1a	immunoglobulin-like domain containing receptor 1a
NM_001115105	gpa33a	glycoprotein A33 (transmembrane), paralog a
NM_001089558	f7l	coagulation factor VII, like
NM_131819	f7	coagulation factor VII
NM_201462	f10	coagulation factor X
NM_001326520	prozb	protein Z, vitamin K-dependent plasma glycoprotein b
NM_001007381	pcid2	PCI domain containing 2
NM_201027	cul4a	cullin 4A
NM_199702	lamp1a	lysosomal associated membrane protein 1a
NM_213402	grtp1a	growth hormone regulated TBC protein 1a
NM_001006033	adprhl1	ADP-ribosylhydrolase like 1
NM_001002156	dcun1d2b	DCN1, defective in cullin neddylation 1, domain containing 2b
NM_200776	tfdp1b	transcription factor Dp-1, b
NM_001034181	grk1a	G protein-coupled receptor kinase 1 a
NM_199978	gas6	growth arrest-specific 6
NM_001077323	pros1	protein S
NM_001002361	mettl21e	methyltransferase like 21e
NM_001144803	blzf1	basic leucine zipper nuclear factor 1
NM_001007332	trmt10c	tRNA methyltransferase 10C, mitochondrial RNase P subunit
NM_001037123	txnl4b	thioredoxin-like 4B
NM_001290146	txnl4b	thioredoxin-like 4B
NM_001007764	mrpl16	mitochondrial ribosomal protein L16
NM_001328008	cenpq	centromere protein Q
NM_199915	mrpl39	mitochondrial ribosomal protein L39
NM_001098264	jam2a	junctional adhesion molecule 2a
NM_213307	atp5pf	ATP synthase peripheral stalk subunit F6
NM_212882	cyyr1	cysteine/tyrosine-rich 1
NM_001002502	n6amt1	N-6 adenine-specific DNA methyltransferase 1
NM_131617	gart	phosphoribosylglycinamide formyltransferase
NM_131603	runx1	RUNX family transcription factor 1
NM_001082942	urp2	urotensin II-related peptide
NM_131686	atp1a1a.1	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 1
NM_131687	atp1a1a.2	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 2
NM_131688	atp1a1a.3	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 3
NM_178099	atp1a1a.5	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 5
NM_001040383	oxgr1a.1	oxoglutarate (alpha-ketoglutarate) receptor 1a, tandem duplicate 1
NM_001161671	mbnl2	muscleblind-like splicing regulator 2
NM_001161669	mbnl2	muscleblind-like splicing regulator 2
NM_001099998	mbnl2	muscleblind-like splicing regulator 2
NM_001161670	mbnl2	muscleblind-like splicing regulator 2
NM_001089560	ggact.3	gamma-glutamylamine cyclotransferase, tandem duplicate 3
NM_001004544	ggact.2	gamma-glutamylamine cyclotransferase, tandem duplicate 2
NM_001077717	ggact.1	gamma-glutamylamine cyclotransferase, tandem duplicate 1
NM_001305553	slitrk6	SLIT and NTRK-like family, member 6
NM_001003842	spry2	sprouty RTK signaling antagonist 2
NM_200691	tuba8l2	tubulin, alpha 8 like 2
NM_001017630	stk16	serine/threonine kinase 16
NM_001328358	mnx2b	motor neuron and pancreas homeobox 2b
NM_001009887	mnx2b	motor neuron and pancreas homeobox 2b
NM_001082796	atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
NM_001145693	abcb6a	ATP binding cassette subfamily B member 6 (LAN blood group) a
NM_199928	cnppd1	cyclin Pas1/PHO80 domain containing 1
NM_001080014	retreg2	reticulophagy regulator family member 2
NM_001076761	mdh1b	malate dehydrogenase 1B, NAD (soluble)
NM_001256242	gtf3c3	general transcription factor IIIC, polypeptide 3
NM_001145627	si:ch211-93g23.2	si:ch211-93g23.2
NM_213314	ube2f	ubiquitin-conjugating enzyme E2F (putative)
NM_001143751	erbb4a	erb-b2 receptor tyrosine kinase 4a
NM_001009891	lancl1	LanC antibiotic synthetase component C-like 1 (bacterial)
NM_131619	mylz3	myosin, light polypeptide 3, skeletal muscle
NM_001326718	pcnp	PEST proteolytic signal containing nuclear protein
NM_001326717	pcnp	PEST proteolytic signal containing nuclear protein
NM_001006035	pcnp	PEST proteolytic signal containing nuclear protein
NM_001326716	pcnp	PEST proteolytic signal containing nuclear protein
NM_001326719	pcnp	PEST proteolytic signal containing nuclear protein
NM_182942	mxa	myxovirus (influenza) resistance A
NM_200162	arglu1b	arginine and glutamate rich 1b
NM_001013498	en1b	engrailed homeobox 1b
NM_001030080	grapb	GRB2 related adaptor protein b
NM_001320491	syngr3b	synaptogyrin 3b
NM_001077387	alkbh5	alkB homolog 5, RNA demethylase
NM_214802	smcr8b	Smith-Magenis syndrome chromosome region, candidate 8b
NM_001013300	zgc:112980	zgc:112980
NM_001030245	fbxl18	F-box and leucine-rich repeat protein 18
NM_199602	hapstr1b	HUWE1 associated protein modifying stress responses b
NM_001252630	socs1b	suppressor of cytokine signaling 1b
NM_001003418	ndufab1a	NADH:ubiquinone oxidoreductase subunit AB1a
NM_001079934	rasd3	RASD family member 3
NM_001003890	plk1	polo-like kinase 1 (Drosophila)
NM_001110102	chtf18	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)
NM_001166125	gng13a	guanine nucleotide binding protein (G protein), gamma 13a
NM_001198746	gng13a	guanine nucleotide binding protein (G protein), gamma 13a
NM_001040241	zgc:136472	zgc:136472
