raw_ids	SYMBOL	GENENAME
NM_001276352	C1orf141	chromosome 1 open reading frame 141
NM_001276351	C1orf141	chromosome 1 open reading frame 141
NM_001005337	PKP1	plakophilin 1
NM_000299	PKP1	plakophilin 1
NM_001042682	RERE	arginine-glutamic acid dipeptide repeats
NM_012102	RERE	arginine-glutamic acid dipeptide repeats
NM_001042681	RERE	arginine-glutamic acid dipeptide repeats
NM_001281956	CSMD2	CUB and Sushi multiple domains 2
NM_052896	CSMD2	CUB and Sushi multiple domains 2
NM_001320285	SLC44A5	solute carrier family 44 member 5
NM_001320287	SLC44A5	solute carrier family 44 member 5
NM_001130058	SLC44A5	solute carrier family 44 member 5
NM_152697	SLC44A5	solute carrier family 44 member 5
NM_001320283	SLC44A5	solute carrier family 44 member 5
NM_001394064	SLC44A5	solute carrier family 44 member 5
NM_001350214	TTLL7	tubulin tyrosine ligase like 7
NM_024686	TTLL7	tubulin tyrosine ligase like 7
NM_001350215	TTLL7	tubulin tyrosine ligase like 7
NM_053274	GLMN	glomulin, FKBP associated protein
NM_001319683	GLMN	glomulin, FKBP associated protein
NM_006699	MAN1A2	mannosidase alpha class 1A member 2
NM_003568	ANXA9	annexin A9
NM_001146191	MPZL1	myelin protein zero like 1
NM_024569	MPZL1	myelin protein zero like 1
NM_003953	MPZL1	myelin protein zero like 1
NM_022457	COP1	COP1 E3 ubiquitin ligase
NM_001001740	COP1	COP1 E3 ubiquitin ligase
NM_001286644	COP1	COP1 E3 ubiquitin ligase
NM_030806	C1orf21	chromosome 1 open reading frame 21
NM_181755	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
NM_001206741	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
NM_005525	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
NM_006642	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8
NM_001350247	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8
NM_001350246	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8
NM_001350248	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8
NM_001350251	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8
NM_001350249	SDCCAG8	SHH signaling and ciliogenesis regulator SDCCAG8
NM_198576	AGRN	agrin
NM_001305275	AGRN	agrin
NM_001364727	AGRN	agrin
NM_002744	PRKCZ	protein kinase C zeta
NM_001033581	PRKCZ	protein kinase C zeta
NM_001350803	PRKCZ	protein kinase C zeta
NM_001350806	PRKCZ	protein kinase C zeta
NM_001350804	PRKCZ	protein kinase C zeta
NM_001242874	PRKCZ	protein kinase C zeta
NM_001350805	PRKCZ	protein kinase C zeta
NM_199454	PRDM16	PR/SET domain 16
NM_022114	PRDM16	PR/SET domain 16
NM_181866	ACOT7	acyl-CoA thioesterase 7
NM_181865	ACOT7	acyl-CoA thioesterase 7
NM_181864	ACOT7	acyl-CoA thioesterase 7
NM_007274	ACOT7	acyl-CoA thioesterase 7
NM_001349612	CAMTA1	calmodulin binding transcription activator 1
NM_001349608	CAMTA1	calmodulin binding transcription activator 1
NM_001410738	CAMTA1	calmodulin binding transcription activator 1
NM_001410737	CAMTA1	calmodulin binding transcription activator 1
NM_001349610	CAMTA1	calmodulin binding transcription activator 1
NM_001349609	CAMTA1	calmodulin binding transcription activator 1
NM_015215	CAMTA1	calmodulin binding transcription activator 1
NM_004565	PEX14	peroxisomal biogenesis factor 14
NM_020780	DISP3	dispatched RND transporter family member 3
NM_001324370	DHRS3	dehydrogenase/reductase 3
NM_001319225	DHRS3	dehydrogenase/reductase 3
NM_004753	DHRS3	dehydrogenase/reductase 3
NM_001437721		
NM_001370230	KAZN	kazrin, periplakin interacting protein
NM_015209	KAZN	kazrin, periplakin interacting protein
NM_201628	KAZN	kazrin, periplakin interacting protein
NM_001410755	PLEKHM2	pleckstrin homology and RUN domain containing M2
NM_015164	PLEKHM2	pleckstrin homology and RUN domain containing M2
NM_030812	ACTL8	actin like 8
NM_001161504	ALDH4A1	aldehyde dehydrogenase 4 family member A1
NM_003748	ALDH4A1	aldehyde dehydrogenase 4 family member A1
NM_170726	ALDH4A1	aldehyde dehydrogenase 4 family member A1
NM_001319218	ALDH4A1	aldehyde dehydrogenase 4 family member A1
NM_014589	PLA2G2E	phospholipase A2 group IIE
NM_003760	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001438679		
NM_001391897	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391906	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391907	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391902	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391898	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391901	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001198802	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391904	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391892	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001437614		
NM_001198801	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391900	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391896	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001438678		
NM_001391905	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391894	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391903	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391893	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391899	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001198803	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_001391895	EIF4G3	eukaryotic translation initiation factor 4 gamma 3
NM_015013	KDM1A	lysine demethylase 1A
NM_001410763	KDM1A	lysine demethylase 1A
NM_001363654	KDM1A	lysine demethylase 1A
NM_001410762	KDM1A	lysine demethylase 1A
NM_001009999	KDM1A	lysine demethylase 1A
NM_001410767	WDTC1	WD and tetratricopeptide repeats 1
NM_015023	WDTC1	WD and tetratricopeptide repeats 1
NM_001276252	WDTC1	WD and tetratricopeptide repeats 1
NM_001099439	EPHA10	EPH receptor A10
NM_017646	TRIT1	tRNA isopentenyltransferase 1
NM_001312691	TRIT1	tRNA isopentenyltransferase 1
NM_001312692	TRIT1	tRNA isopentenyltransferase 1
NM_020883	ZSWIM5	zinc finger SWIM-type containing 5
NM_001328648	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3
NM_001303427	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough
NM_005764	PDZK1IP1	PDZK1 interacting protein 1
NM_001011547	SLC5A9	solute carrier family 5 member 9
NM_001135181	SLC5A9	solute carrier family 5 member 9
NM_001323574	AGBL4	AGBL carboxypeptidase 4
NM_001323573	AGBL4	AGBL carboxypeptidase 4
NM_032785	AGBL4	AGBL carboxypeptidase 4
NM_001323575	AGBL4	AGBL carboxypeptidase 4
NM_001159969	EPS15	epidermal growth factor receptor pathway substrate 15
NM_001410797	EPS15	epidermal growth factor receptor pathway substrate 15
NM_001981	EPS15	epidermal growth factor receptor pathway substrate 15
NM_001410796	EPS15	epidermal growth factor receptor pathway substrate 15
NM_015269	TUT4	terminal uridylyl transferase 4
NM_001009881	TUT4	terminal uridylyl transferase 4
NM_001379462	DAB1	DAB adaptor protein 1
NM_021080	DAB1	DAB adaptor protein 1
NM_001379461	DAB1	DAB adaptor protein 1
