raw_ids	SYMBOL	GENENAME
NM_001265867	FAF1	Fas associated factor 1
NM_001258085	SLC25A24	solute carrier family 25 member 24
NM_001261804	SDHB	succinate dehydrogenase complex iron sulfur subunit B
NM_001261213	PLA2G5	phospholipase A2 group V
NM_001261245	TMEM50A	transmembrane protein 50A
NM_001261640	ZCCHC17	zinc finger CCHC-type containing 17
NM_001266268	MEAF6	MYST/Esa1 associated factor 6
NM_001265964	PDE4B	phosphodiesterase 4B
NM_001261637	NEGR1	neuronal growth regulator 1
NM_001204800	TNNI3K	TNNI3 interacting kinase
NM_001261629	ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
NM_001266348	AK5	adenylate kinase 5
NM_001159416	SELENOF	selenoprotein F
NM_001267024	ZNF326	zinc finger protein 326
NM_001266811	OLFM3	olfactomedin 3
NM_001261060	DENND2D	DENN domain containing 2D
NM_001261288	MAN1A2	mannosidase alpha class 1A member 2
NM_001257436	GPR89A	G protein-coupled receptor 89A
NM_001266909	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1
NM_001266879	RGL1	ral guanine nucleotide dissociation stimulator like 1
NM_001261001	TNR	tenascin R
NM_001260517	RGS5	regulator of G protein signaling 5
NM_001266640	AKT3	AKT serine/threonine kinase 3
NM_001265933	SMYD3	SET and MYND domain containing 3
NM_001265894	GNB1	G protein subunit beta 1
NM_001265662	RERE	arginine-glutamic acid dipeptide repeats
NM_001257717	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1
NM_001260588	CTNNBIP1	catenin beta interacting protein 1
NM_001257923	AGTRAP	angiotensin II receptor associated protein
NM_001040678	EPHA2	EPH receptor A2
NM_001266406	FBXO42	F-box protein 42
NM_001260991	IGSF21	immunoglobin superfamily member 21
NM_001265698	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)
NM_001266317	SH2D5	SH2 domain containing 5
NM_001257465	ZNF436	zinc finger protein 436
NM_001261607	CLIC4	chloride intracellular channel 4
NM_001038650	MACO1	macoilin 1
NM_001266060	EYA3	EYA transcriptional coactivator and phosphatase 3
NM_001261169	MECR	mitochondrial trans-2-enoyl-CoA reductase
NM_001261078	AK2	adenylate kinase 2
NM_001260875	ZMYM4	zinc finger MYM-type containing 4
NM_001257446	ZMPSTE24	zinc metallopeptidase STE24
NM_001266730	SMAP2	small ArfGAP2
NM_001266996	FOXJ3	forkhead box J3
NM_001257862	SLC2A1	solute carrier family 2 member 1
NM_001260654	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma
NM_001267790	TESK2	testis associated actin remodelling kinase 2
NM_001261345	GPBP1L1	GC-rich promoter binding protein 1 like 1
NM_001266826	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3
NM_001265949	SPATA6	spermatogenesis associated 6
NM_001258180	ELAVL4	ELAV like RNA binding protein 4
NM_001266792	RAB3B	RAB3B, member RAS oncogene family
NM_001266981	BTF3L4	basic transcription factor 3 like 4
NM_001257754	IFT25	intraflagellar transport 25
NM_001266853	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2
NM_001261084	SSBP3	single stranded DNA binding protein 3
NM_001266162	TTC4	tetratricopeptide repeat domain 4
NM_001257887	ATG4C	autophagy related 4C cysteine peptidase
NM_001257491	PGM1	phosphoglucomutase 1
NM_001257909	JAK1	Janus kinase 1
NM_001265875	SGIP1	SH3GL interacting endocytic adaptor 1
NM_001261755	GNG12	G protein subunit gamma 12
NM_001265811	CRYZ	crystallin zeta
NM_001260944	PIGK	phosphatidylinositol glycan anchor biosynthesis class K
NM_001260959	PRKACB	protein kinase cAMP-activated catalytic subunit beta
NM_001266704	DDAH1	dimethylarginine dimethylaminohydrolase 1
NM_001266360	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1
NM_001260915	HS2ST1	heparan sulfate 2-O-sulfotransferase 1
NM_001266553	LRRC8D	leucine rich repeat containing 8 VRAC subunit D
NM_001266610	CDC7	cell division cycle 7
NM_001257890	RPAP2	RNA polymerase II associated protein 2
NM_001266885	DIPK1A	divergent protein kinase domain 1A
NM_001261603	EEIG2	EEIG family member 2
NM_001258058	AHCYL1	adenosylhomocysteinase like 1
NM_001265727	SLC16A4	solute carrier family 16 member 4
NM_001302780	TMIGD3	transmembrane and immunoglobulin domain containing 3
NM_001302781	TMIGD3	transmembrane and immunoglobulin domain containing 3
NM_001278467	KCND3	potassium voltage-gated channel subfamily D member 3
NM_001278468	KCND3	potassium voltage-gated channel subfamily D member 3
NM_001257547	CTTNBP2NL	CTTNBP2 N-terminal like
NM_001261214	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1
NM_001257704	SLC16A1	solute carrier family 16 member 1
NM_001260662	NOTCH2	notch receptor 2
NM_001261329	SEC22B	SEC22 homolog B, vesicle trafficking protein
NM_001261320	BCL9	BCL9 transcription coactivator
NM_001266784	RNF115	ring finger protein 115
NM_001260966	PLEKHO1	pleckstrin homology domain containing O1
NM_001261642	CERS2	ceramide synthase 2
NM_001136567	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha
NM_001266777	POGZ	pogo transposable element derived with ZNF domain
NM_001261291	RAB13	RAB13, member RAS oncogene family
NM_001260514	THBS3	thrombospondin 3
NM_001265686	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
NM_001193587	SDHC	succinate dehydrogenase complex subunit C
NM_001164764	NOS1AP	nitric oxide synthase 1 adaptor protein
NM_001261780	PYCR2	pyrroline-5-carboxylate reductase 2
NM_001266518	TGFB2	transforming growth factor beta 2
NM_001261234	KCTD3	potassium channel tetramerization domain containing 3
NM_001267017	KCNH1	potassium voltage-gated channel subfamily H member 1
NM_001261604	ELK4	ETS transcription factor ELK4
NM_001266303	TMCC2	transmembrane and coiled-coil domain family 2
NM_001260962	ZC3H11A	zinc finger CCCH-type containing 11A
NM_001032926	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
NM_001257285	CSRP1	cysteine and glycine rich protein 1
NM_001266713	CAMSAP2	calmodulin regulated spectrin associated protein family member 2
NM_001258200	NEK7	NIMA related kinase 7
NM_001260567	CDC73	cell division cycle 73
NM_001261478	BRINP3	BMP/retinoic acid inducible neural specific 3
NM_001260768	TRMT1L	tRNA methyltransferase 1 like
NM_001260863	C1H1orf21	chromosome 1 C1orf21 homolog
NM_001261348	ACBD6	acyl-CoA binding domain containing 6
NM_001265618	BRINP2	BMP/retinoic acid inducible neural specific 2
NM_001266732	ASTN1	astrotactin 1
NM_001266265	COP1	COP1 E3 ubiquitin ligase
NM_001266661	CACYBP	calcyclin binding protein
NM_001265960	UCK2	uridine-cytidine kinase 2
NM_001257610	RXRG	retinoid X receptor gamma
NM_001261374	NUF2	NUF2 component of NDC80 kinetochore complex
NM_001257498	TAF5L	TATA-box binding protein associated factor 5 like
NM_001261355	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
NM_001265780	GNPAT	glyceronephosphate O-acyltransferase
NM_001265676	MAP3K21	mitogen-activated protein kinase kinase kinase 21
NM_001257648	RBM34	RNA binding motif protein 34
NM_001265678	TBCE	tubulin folding cofactor E
NM_001257740	CHRM3	cholinergic receptor muscarinic 3
NM_001266806	ISG15	ISG15 ubiquitin like modifier
NM_001257474	CPTP	ceramide-1-phosphate transfer protein
NM_001260532	AURKAIP1	aurora kinase A interacting protein 1
NM_001260920	MRPL20	mitochondrial ribosomal protein L20
NM_001260638	VWA1	von Willebrand factor A domain containing 1
NM_001261547	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
NM_001257522	RER1	retention in endoplasmic reticulum sorting receptor 1
NM_001260515	TPRG1L	tumor protein p63 regulated 1 like
NM_001193564	RPL22	ribosomal protein L22
NM_001261368	VAMP3	vesicle associated membrane protein 3
NM_001266128	TNFRSF9	TNF receptor superfamily member 9
NM_001261681	ERRFI1	ERBB receptor feedback inhibitor 1
NM_001265662	RERE	arginine-glutamic acid dipeptide repeats
NM_001195611	ENO1	enolase 1
NM_001260683	DFFA	DNA fragmentation factor subunit alpha
NM_001257807	SRM	spermidine synthase
NM_001260779	UBIAD1	UbiA prenyltransferase domain containing 1
NM_001260876	FBXO44	F-box protein 44
NM_001257687	MAD2L2	mitotic arrest deficient 2 like 2
NM_001257776	CLCN6	chloride voltage-gated channel 6
NM_001266205	TNFRSF1B	TNF receptor superfamily member 1B
NM_001260537	DHRS3	dehydrogenase/reductase 3
NM_001265791	EFHD2	EF-hand domain family member D2
NM_001257470	ZBTB17	zinc finger and BTB domain containing 17
NM_001257460	SRARP	steroid receptor associated and regulated protein
NM_001258172	NECAP2	NECAP endocytosis associated 2
NM_001265783	PADI2	peptidyl arginine deiminase 2
NM_001261118	EMC1	ER membrane protein complex subunit 1
NM_001266423	MRTO4	MRT4 homolog, ribosome maturation factor
NM_001265657	UBXN10	UBX domain protein 10
NM_001260527	CAMK2N1	calcium/calmodulin dependent protein kinase II inhibitor 1
NM_001261655	MUL1	mitochondrial E3 ubiquitin protein ligase 1
NM_001257929	HP1BP3	heterochromatin protein 1 binding protein 3
NM_001266869	ALPL	alkaline phosphatase, biomineralization associated
NM_001195397	CELA3B	chymotrypsin like elastase 3B
NM_001257880	CDC42	cell division cycle 42
NM_001266808	C1QC	complement C1q C chain
NM_001265639	KDM1A	lysine demethylase 1A
NM_001260794	PITHD1	PITH domain containing 1
NM_001266699	LYPLA2	lysophospholipase 2
NM_001261703	GALE	UDP-galactose-4-epimerase
NM_001032964	RHCE	Rh blood group, CcEe antigens
NM_001260704	TRIM63	tripartite motif containing 63
NM_001261042	ZNF593	zinc finger protein 593
NM_001257628	CEP85	centrosomal protein 85
NM_001266187	CD52	CD52 molecule
NM_001258131	SFN	stratifin
NM_001266887	GPN2	GPN-loop GTPase 2
NM_001265795	TRNP1	TMF1 regulated nuclear protein 1
NM_001258057	FGR	FGR proto-oncogene, Src family tyrosine kinase
NM_001048170	IFI6	interferon alpha inducible protein 6
NM_001265898	STX12	syntaxin 12
NM_001266462	PPP1R8	protein phosphatase 1 regulatory subunit 8
NM_001260634	RPA2	replication protein A2
NM_001261054	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8
NM_001260663	ATP5IF1	ATP synthase inhibitory factor subunit 1
NM_001261068	SESN2	sestrin 2
NM_001260878	SRSF4	serine and arginine rich splicing factor 4
NM_001266125	PTP4A2	protein tyrosine phosphatase 4A2
NM_001266992	KPNA6	karyopherin subunit alpha 6
