raw_ids	SYMBOL	GENENAME
NM_001291928	Adora1	adenosine A1 receptor
NM_001008533	Adora1	adenosine A1 receptor
NM_001282945	Adora1	adenosine A1 receptor
NM_001039510	Adora1	adenosine A1 receptor
NM_001291930	Adora1	adenosine A1 receptor
NM_027671	Sntg1	syntrophin, gamma 1
NM_001290390	Sntg1	syntrophin, gamma 1
NM_001290393	Sntg1	syntrophin, gamma 1
NM_001290392	Sntg1	syntrophin, gamma 1
NM_175642	Adgrb3	adhesion G protein-coupled receptor B3
NM_008922	Prim2	DNA primase, p58 subunit
NM_001289704	Cflar	CASP8 and FADD-like apoptosis regulator
NM_001293804	Cflar	CASP8 and FADD-like apoptosis regulator
NM_009805	Cflar	CASP8 and FADD-like apoptosis regulator
NM_001355056	Cflar	CASP8 and FADD-like apoptosis regulator
NM_207653	Cflar	CASP8 and FADD-like apoptosis regulator
NM_178884	Obsl1	obscurin-like 1
NM_001310679	Obsl1	obscurin-like 1
NM_027677	Gpr39	G protein-coupled receptor 39
NM_033652	Lmx1a	LIM homeobox transcription factor 1 alpha
NM_001357845	Pld5	phospholipase D family member 5
NM_001357847	Pld5	phospholipase D family member 5
NM_001195816	Pld5	phospholipase D family member 5
NM_001357844	Pld5	phospholipase D family member 5
NM_001357846	Pld5	phospholipase D family member 5
NM_176916	Pld5	phospholipase D family member 5
NM_001301370	Syt14	synaptotagmin XIV
NM_181546	Syt14	synaptotagmin XIV
NM_001370921	Rp1	retinitis pigmentosa 1 (human)
NM_177834	Cpa6	carboxypeptidase A6
NM_001289497	Cpa6	carboxypeptidase A6
NM_001160371	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_001160370	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_001374634	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_001310451	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_177173	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_001374633	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_001160369	A830018L16Rik	RIKEN cDNA A830018L16 gene
NM_145381	Lactb2	lactamase, beta 2
NM_027974	Efhc1	EF-hand domain (C-terminal) containing 1
NM_133235	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2
NM_146107	Actr1b	ARP1 actin-related protein 1B, centractin beta
NM_001029878	Lonrf2	LON peptidase N-terminal domain and ring finger 2
NM_053107	Gpr45	G protein-coupled receptor 45
NM_001368717	Dnah7b	dynein, axonemal, heavy chain 7B
NM_001252070	Dnah7a	dynein, axonemal, heavy chain 7A
NM_001163314	Pgap1	post-GPI attachment to proteins 1
NM_001114663	Plcl1	phospholipase C-like 1
NM_007561	Bmpr2	bone morphogenetic protein receptor type 2
NM_001081050	Pard3b	par-3 family cell polarity regulator beta
NM_010154	Erbb4	erb-b2 receptor tyrosine kinase 4
NM_029160	Spag16	sperm associated antigen 16
NM_025728	Spag16	sperm associated antigen 16
NM_175210	Abca12	ATP-binding cassette, sub-family A member 12
NM_009533	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5
NM_001357520	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5
NM_001357519	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5
NM_001310662	Usp37	ubiquitin specific peptidase 37
NM_176972	Usp37	ubiquitin specific peptidase 37
NM_175291	Dock10	dedicator of cytokinesis 10
NM_027921	Slc16a14	solute carrier family 16 (monocarboxylic acid transporters), member 14
NM_153530	Dis3l2	DIS3 like 3'-5' exoribonuclease 2
NM_001172157	Dis3l2	DIS3 like 3'-5' exoribonuclease 2
NM_201641	Ugt1a10	UDP glycosyltransferase 1 family, polypeptide A10
NM_201644	Ugt1a9	UDP glucuronosyltransferase 1 family, polypeptide A9
NM_133816	Sh3bp4	SH3-domain binding protein 4
NM_080850	Pask	PAS domain containing serine/threonine kinase
NM_011800	Cdh20	cadherin 20
NM_027971	Serpinb12	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12
NM_001199213	Serpinb12	serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 12
NM_001316743	Cdh7	cadherin 7, type 2
NM_001316744	Cdh7	cadherin 7, type 2
NM_172853	Cdh7	cadherin 7, type 2
NM_001077425	Cntnap5a	contactin associated protein-like 5A
NM_001371013	Cntnap5a	contactin associated protein-like 5A
NM_001359347	Clasp1	CLIP associating protein 1
NM_001293301	Clasp1	CLIP associating protein 1
NM_029709	Clasp1	CLIP associating protein 1
NM_001359342	Clasp1	CLIP associating protein 1
NM_001359340	Clasp1	CLIP associating protein 1
NM_001359346	Clasp1	CLIP associating protein 1
NM_001359338	Clasp1	CLIP associating protein 1
NM_001359343	Clasp1	CLIP associating protein 1
NM_001359341	Clasp1	CLIP associating protein 1
NM_001359339	Clasp1	CLIP associating protein 1
NM_001359330	Clasp1	CLIP associating protein 1
NM_001359334	Clasp1	CLIP associating protein 1
NM_001359329	Clasp1	CLIP associating protein 1
NM_001359345	Clasp1	CLIP associating protein 1
NM_001359336	Clasp1	CLIP associating protein 1
NM_001359337	Clasp1	CLIP associating protein 1
NM_001293300	Clasp1	CLIP associating protein 1
NM_001359335	Clasp1	CLIP associating protein 1
NM_001359331	Clasp1	CLIP associating protein 1
NM_001359328	Clasp1	CLIP associating protein 1
NM_199021	Dpp10	dipeptidylpeptidase 10
NM_178690	Rab3gap1	RAB3 GTPase activating protein subunit 1
NM_172485	Thsd7b	thrombospondin, type I, domain containing 7B
NM_008551	Mapkapk2	MAP kinase-activated protein kinase 2
NM_008795	Cdk18	cyclin dependent kinase 18
NM_145417	Rnpep	arginyl aminopeptidase (aminopeptidase B)
NM_001159624	Rnpep	arginyl aminopeptidase (aminopeptidase B)
NM_001347109	Camsap2	calmodulin regulated spectrin-associated protein family, member 2
NM_001347110	Camsap2	calmodulin regulated spectrin-associated protein family, member 2
NM_009791	Aspm	abnormal spindle microtubule assembly
NM_001081027	Kcnt2	potassium channel, subfamily T, member 2
NM_145991	Cdc73	cell division cycle 73, Paf1/RNA polymerase II complex component
NM_001357571	Brinp3	bone morphogenetic protein/retinoic acid inducible neural specific 3
NM_153539	Brinp3	bone morphogenetic protein/retinoic acid inducible neural specific 3
NM_001357572	Brinp3	bone morphogenetic protein/retinoic acid inducible neural specific 3
NM_001145807	Brinp3	bone morphogenetic protein/retinoic acid inducible neural specific 3
NM_008869	Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent)
NM_197990	1700025G04Rik	RIKEN cDNA 1700025G04 gene
NM_175460	Nmnat2	nicotinamide nucleotide adenylyltransferase 2
NM_021433	Stx6	syntaxin 6
NM_177644	Rasal2	RAS protein activator like 2
NM_207583	Brinp2	bone morphogenic protein/retinoic acid inducible neural-specific 2
NM_013862	Rabgap1l	RAB GTPase activating protein 1-like
NM_178593	Rcsd1	RCSD domain containing 1
NM_001038846	Rcsd1	RCSD domain containing 1
NM_001160215	Fcrla	Fc receptor-like A
NM_145141	Fcrla	Fc receptor-like A
NM_001347195	Rgs7	regulator of G protein signaling 7
NM_001199003	Rgs7	regulator of G protein signaling 7
NM_011880	Rgs7	regulator of G protein signaling 7
NM_001357129	Rgs7	regulator of G protein signaling 7
NM_011785	Akt3	thymoma viral proto-oncogene 3
NM_027188	Smyd3	SET and MYND domain containing 3
NM_001081175	Itpkb	inositol 1,4,5-trisphosphate 3-kinase B
NM_001160212	Cnih3	cornichon family AMPA receptor auxiliary protein 3
NM_001160211	Cnih3	cornichon family AMPA receptor auxiliary protein 3
NM_028408	Cnih3	cornichon family AMPA receptor auxiliary protein 3
NM_173378	Trp53bp2	transformation related protein 53 binding protein 2
NM_001329107	Tgfb2	transforming growth factor, beta 2
NM_009367	Tgfb2	transforming growth factor, beta 2
NM_001243792	Esrrg	estrogen-related receptor gamma
NM_001357534	Esrrg	estrogen-related receptor gamma
NM_001357535	Esrrg	estrogen-related receptor gamma
NM_021408	Ush2a	usherin
NM_008976	Ptpn14	protein tyrosine phosphatase, non-receptor type 14
NM_178775	Rps6kc1	ribosomal protein S6 kinase polypeptide 1
NM_001011874	Xkr4	X-linked Kx blood group related 4
NM_001195662	Rp1	retinitis pigmentosa 1 (human)
NM_001290372	Rgs20	regulator of G-protein signaling 20
NM_021374	Rgs20	regulator of G-protein signaling 20
NM_001177795	Rgs20	regulator of G-protein signaling 20
NM_001310442	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H
NM_133826	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H
NM_001244693	St18	suppression of tumorigenicity 18
NM_001244692	St18	suppression of tumorigenicity 18
NM_173868	St18	suppression of tumorigenicity 18
NM_001357378	Adhfe1	alcohol dehydrogenase, iron containing, 1
NM_001357376	Adhfe1	alcohol dehydrogenase, iron containing, 1
NM_175236	Adhfe1	alcohol dehydrogenase, iron containing, 1
NM_001357377	Adhfe1	alcohol dehydrogenase, iron containing, 1
NM_008651	Mybl1	myeloblastosis oncogene-like 1
NM_001290397	Mybl1	myeloblastosis oncogene-like 1
NM_177547	Sgk3	serum/glucocorticoid regulated kinase 3
NM_133220	Sgk3	serum/glucocorticoid regulated kinase 3
NM_001285425	Tcf24	transcription factor 24
NM_026493	Cspp1	centrosome and spindle pole associated protein 1
NM_001368816	Cspp1	centrosome and spindle pole associated protein 1
NM_001102430	Arfgef1	ADP ribosylation factor guanine nucleotide exchange factor 1
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
NM_001033636	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
NM_001198566	Sulf1	sulfatase 1
NM_001198565	Sulf1	sulfatase 1
NM_172294	Sulf1	sulfatase 1
NM_172841	Slco5a1	solute carrier organic anion transporter family, member 5A1
NM_001302702	Ncoa2	nuclear receptor coactivator 2
NM_008678	Ncoa2	nuclear receptor coactivator 2
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1
