raw_ids	SYMBOL	GENENAME
NM_001246591	SLC2A5	solute carrier family 2 member 5
NM_001009032	AGT	angiotensinogen
NM_001271673	KPNA6	karyopherin subunit alpha 6
NM_001280359	SH3D21	SH3 domain containing 21
NM_001280144	OSBPL9	oxysterol binding protein like 9
NM_001204797	TNNI3K	TNNI3 interacting kinase
NM_001190486	ADGRL2	adhesion G protein-coupled receptor L2
NM_001280211	PRUNE1	prune exopolyphosphatase 1
NM_001246493	SHCBP1L	SHC binding and spindle associated 1 like
NM_001204891	KIF1B	kinesin family member 1B
NM_001246404	FBXO6	F-box protein 6
NM_001038649	MACO1	macoilin 1
NM_001243839	AUNIP	aurora kinase A and ninein interacting protein
NM_001246374	RBBP4	RB binding protein 4, chromatin remodeling factor
NM_001246398	GNL2	G protein nucleolar 2
NM_001280131	MTF1	metal regulatory transcription factor 1
NM_001246453	SF3A3	splicing factor 3a subunit 3
NM_001246593	CAP1	cyclase associated actin cytoskeleton regulatory protein 1
NM_001280538	SPATA6	spermatogenesis associated 6
NM_001122651	DIO1	iodothyronine deiodinase 1
NM_001280395	C1H1orf87	chromosome 1 C1orf87 homolog
NM_001045497	IFI44	interferon induced protein 44
NM_001145843	SELENOF	selenoprotein F
NM_001246440	GLMN	glomulin, FKBP associated protein
NM_001280195	CDC14A	cell division cycle 14A
NM_001280282	CAPZA1	capping actin protein of muscle Z-line subunit alpha 1
NM_001302431	CFAP45	cilia and flagella associated protein 45
NM_001279820	ALDH9A1	aldehyde dehydrogenase 9 family member A1
NM_001279868	MAEL	maelstrom spermatogenic transposon silencer
NM_001279883	POU2F1	POU class 2 homeobox 1
NM_001279964	NME7	NME/NM23 family member 7
NM_001242610	C1H1orf21	chromosome 1 C1orf21 homolog
NM_001280517	INTS7	integrator complex subunit 7
NM_001280454	ERO1B	endoplasmic reticulum oxidoreductase 1 beta
NM_001280064	AKT3	AKT serine/threonine kinase 3
NM_001246632	SCCPDH	saccharopine dehydrogenase (putative)
NM_001302432	C1H1orf159	chromosome 1 C1orf159 homolog
NM_001302433	UBE2J2	ubiquitin conjugating enzyme E2 J2
NM_001280424	INTS11	integrator complex subunit 11
NM_001280245	MXRA8	matrix remodeling associated 8
NM_001279930	CCDC27	coiled-coil domain containing 27
NM_001251898	C1H1orf174	chromosome 1 C1orf174 homolog
NM_001246583	VAMP3	vesicle associated membrane protein 3
NM_001220779	ENO1	enolase 1
NM_001280248	PGD	phosphogluconate dehydrogenase
NM_001204892	CENPS	centromere protein S
NM_001204893	CORT	cortistatin
NM_001280455	EXOSC10	exosome component 10
NM_001145656	MIIP	migration and invasion inhibitory protein
NM_001280199	ZBTB17	zinc finger and BTB domain containing 17
NM_001280325	CDC42	cell division cycle 42
NM_001280344	PITHD1	PITH domain containing 1
NM_001252028	LYPLA2	lysophospholipase 2
NM_001252002	PNRC2	proline rich nuclear receptor coactivator 2
NM_001280375	SYF2	SYF2 pre-mRNA splicing factor
NM_001251891	RSRP1	arginine and serine rich protein 1
NM_001246545	MTFR1L	mitochondrial fission regulator 1 like
NM_001280350	NUDC	nuclear distribution C, dynein complex regulator
NM_001033037	XKR8	XK related 8
NM_001279783	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8
NM_001205205	RCC1	regulator of chromosome condensation 1
NM_001243957	BSDC1	BSD domain containing 1
NM_001251847	SFPQ	splicing factor proline and glutamine rich
NM_001246389	PSMB2	proteasome 20S subunit beta 2
NM_001246430	CDCA8	cell division cycle associated 8
NM_001319874	OXCT2	3-oxoacid CoA-transferase 2
NM_001280162	MFSD2A	MFSD2 lysolipid transporter A, lysophospholipid
NM_001246488	SLFNL1	schlafen like 1
