raw_ids	SYMBOL	GENENAME
NM_001106217	Lrp11	LDL receptor related protein 11
NM_013073	Pcmt1	protein-L-isoaspartate (D-aspartate) O-methyltransferase 1
NM_001128191	Nup43	nucleoporin 43
NM_001134543	Lats1	large tumor suppressor kinase 1
NM_001004217	Katna1	katanin catalytic subunit A1
NM_001108457	Ppil4	peptidylprolyl isomerase like 4
NM_001107469	Zc3h12d	zinc finger CCCH type containing 12D
NM_001012062	Tab2	TGF-beta activated kinase 1/MAP3K7 binding protein 2
NM_001108458	Ust	uronyl-2-sulfotransferase
NM_001108901	Samd5	sterile alpha motif domain containing 5
NM_030843	Stxbp5	syntaxin binding protein 5
NM_001108902	Rab32	RAB32, member RAS oncogene family
NM_001114330	Grm1	glutamate metabotropic receptor 1
NM_017011	Grm1	glutamate metabotropic receptor 1
NM_001107470	Shprh	SNF2 histone linker PHD RING helicase
NM_001007690	Fbxo30	F-box protein 30
NM_001276762	Epm2a	EPM2A glucan phosphatase, laforin
NM_013070	Utrn	utrophin
NM_001025638	Stx11	syntaxin 11
NM_001126092	Sf3b5	splicing factor 3b, subunit 5
NM_012760	Plagl1	PLAG1 like zinc finger 1
NM_001271310	Zc2hc1b	zinc finger, C2HC-type containing 1B
NM_001014157	Ltv1	LTV1 ribosome biogenesis factor
NM_214458	Phactr2	phosphatase and actin regulator 2
NM_001004218	Fuca2	alpha-L-fucosidase 2
NM_031350	Pex3	peroxisomal biogenesis factor 3
NM_001115028	Adat2	adenosine deaminase, tRNA-specific 2
NM_001134425	Aig1	androgen-induced 1
NM_024137	Hivep2	HIVEP zinc finger 2
NM_001025640	Vta1	vesicle trafficking 1
NM_012799	Nmbr	neuromedin B receptor
NM_053698	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
NM_001135859	Txlnb	taxilin beta
NM_001107514	Heca	hdc homolog, cell cycle regulator
NM_001099647	Abracl	ABRA C-terminal like
NM_001106264	Reps1	RALBP1 associated Eps domain containing 1
NM_001037789	Ccdc28a	coiled-coil domain containing 28A
NM_001107515	Hebp2	heme binding protein 2
NM_001106265	Perp	p53 apoptosis effector related to PMP22
NM_001106269	Olig3	oligodendrocyte transcription factor 3
NM_053783	Ifngr1	interferon gamma receptor 1
NM_001003404	Il22ra2	interleukin 22 receptor subunit alpha 2
NM_001107521	Il20ra	interleukin 20 receptor subunit alpha
NM_001107522	Slc35d3	solute carrier family 35, member D3
NM_001034147	Pex7	peroxisomal biogenesis factor 7
NM_001198638	Map7	microtubule-associated protein 7
NM_001106270	Map7	microtubule-associated protein 7
NM_001047852	Bclaf1	BCL2-associated transcription factor 1
NM_001290110	Mtfr2	mitochondrial fission regulator 2
NM_080894	Pde7b	phosphodiesterase 7B
NM_001011934	Hbs1l	HBS1-like translational GTPase
NM_001029902	Ptprk	protein tyrosine phosphatase, receptor type, K
NM_001170575	Arhgap18	Rho GTPase activating protein 18
NM_001109135	Tmem200a	transmembrane protein 200A
NM_001195606	Smlr1	small leucine-rich protein 1
NM_017134	Arg1	arginase 1
NM_001277054	Med23	mediator complex subunit 23
NM_019370	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3
NM_022266	Ccn2	cellular communication network factor 2
NM_021869	Stx7	syntaxin 7
NM_001025623	Vnn1	vanin 1
NM_001109136	Vnn3	vanin 3
NM_031709	Rps12	ribosomal protein S12
NM_001271317	Eya4	EYA transcriptional coactivator and phosphatase 4
NM_001032397	Tcf21	transcription factor 21
NM_001127201	Tbpl1	TATA-box binding protein like 1
NM_001107451	Slc2a12	solute carrier family 2 member 12
NM_019232	Sgk1	serum/glucocorticoid regulated kinase 1
NM_001193568	Sgk1	serum/glucocorticoid regulated kinase 1
NM_001193569	Sgk1	serum/glucocorticoid regulated kinase 1
NM_001108459	Clvs2	clavesin 2
NM_021666	Trdn	triadin
NM_001106204	Rnf217	ring finger protein 217
NM_001044295	Tpd52l1	TPD52 like 1
NM_001108460	Hddc2	HD domain containing 2
NM_130417	Hey2	hes-related family bHLH transcription factor with YRPW motif 2
