UTR	microRNA	Start	End	Seed	Loop	dGduplex	dG5	dG3	dG0	dG1	dGopen	ddG
NM_001285	hsa-miR-145	210	203	7:0:1	0	-15.89	-8.3	-7.59	-24.24	-20.59	-3.65	-12.23
NM_001285	hsa-miR-493-5p	110	103	7:0:1	0	-15.1	-5.3	-9.8	-39.11	-29.65	-9.45	-5.64
NM_001285	hsa-miR-586	162	155	7:0:1	0	-9.3	-4.4	-4.9	-41.21	-34.57	-6.64	-2.65
NM_001285	hsa-miR-583	44	36	8:0:1	0	-8	-7.3	-0.7	-21.38	-15.75	-5.62	-2.37
NM_001285	hsa-miR-586	72	65	7:0:1	0	-6	-4.4	-1.6	-33.18	-29.13	-4.04	-1.95
NM_001285	hsa-miR-561	172	164	8:1:1	0	-10.42	-4.2	-6.22	-36.90	-27.90	-8.99	-1.42
NM_001285	hsa-miR-374	76	68	8:1:0	0	-4.4	-1.7	-2.7	-36.88	-33.08	-3.79	-0.60
NM_001285	hsa-miR-586	109	102	7:0:1	0	-9.9	-5	-4.9	-38.55	-29.02	-9.52	-0.37
NM_001285	hsa-miR-600	179	172	7:0:1	0	-13.41	-8.1	-5.31	-32.69	-19.02	-13.67	0.26
NM_001285	hsa-miR-139	141	135	6:0:0	0	-9.4	-7.1	-2.3	-42.03	-32.13	-9.89	0.49
NM_001285	hsa-miR-600	142	135	7:0:1	0	-9.5	-8.1	-1.4	-42.23	-32.07	-10.16	0.66
NM_001285	hsa-miR-374	166	158	8:1:0	0	-5.69	-1.7	-3.99	-38.63	-31.74	-6.88	1.19
NM_001285	hsa-miR-561	61	54	7:0:1	0	-4.4	-1.4	-3	-25.77	-20.18	-5.59	1.19
NM_001285	hsa-miR-561	60	52	8:1:0	0	-4.5	0.5	-5	-25.37	-19.61	-5.76	1.26
NM_001285	hsa-miR-374	54	48	6:0:0	0	-5.45	-2.1	-3.35	-24.95	-18.16	-6.78	1.33
NM_001285	hsa-miR-586	133	126	7:0:1	0	-8.42	-4.4	-4.02	-42.15	-32.00	-10.15	1.73
NM_001285	hsa-miR-493-5p	123	115	8:1:1	0	-7.46	-1.3	-6.16	-41.98	-32.08	-9.89	2.43
NM_001285	hsa-miR-139	178	172	6:0:0	0	-10.5	-7.1	-3.4	-33.07	-19.26	-13.81	3.31
NM_001285	hsa-miR-139	88	82	6:0:0	0	-10	-7.1	-2.9	-35.25	-21.62	-13.63	3.63
NM_001285	hsa-miR-600	89	82	7:0:1	0	-9.7	-8.1	-1.6	-35.21	-21.40	-13.81	4.11
NM_001285	hsa-miR-561	82	74	8:1:1	0	-8.3	-4.2	-4.1	-37.17	-24.11	-13.05	4.75
